F1, F2, F3, F4, F5, F6, F7, F8, F9, F10, F11, F12, F13, F14, F15, F16, F17, F18, F19, F20, F21, F22, F23, F24, F25, F26, Class
28, 0, 2, 10, 13, 5, 16, 6, 9, 0, 3, 24, 5, 0, 0, 9, 7, 26, 10, 17, 0, 18, 2, 0, 5, 0, DNA
11, 0, 1, 13, 24, 9, 15, 7, 11, 0, 7, 20, 12, 5, 0, 14, 7, 22, 9, 12, 0, 22, 3, 0, 5, 0, DNA
42, 0, 10, 30, 51, 13, 30, 26, 29, 0, 44, 51, 10, 31, 0, 51, 35, 30, 57, 37, 0, 33, 12, 0, 14, 0, DNA
16, 0, 0, 4, 7, 5, 7, 2, 7, 0, 16, 13, 1, 1, 0, 5, 8, 17, 10, 9, 0, 6, 0, 0, 2, 0, DNA
18, 0, 2, 4, 7, 4, 7, 2, 7, 0, 13, 12, 3, 1, 0, 6, 8, 18, 5, 10, 0, 6, 0, 0, 3, 0, DNA
18, 0, 1, 4, 7, 4, 7, 2, 7, 0, 13, 12, 3, 1, 0, 6, 8, 18, 6, 10, 0, 6, 0, 0, 3, 0, DNA
18, 0, 1, 4, 7, 4, 8, 2, 8, 0, 13, 12, 2, 1, 0, 6, 8, 18, 6, 10, 0, 5, 0, 0, 3, 0, DNA
17, 0, 2, 4, 7, 3, 7, 2, 7, 0, 11, 13, 2, 2, 0, 6, 8, 18, 6, 11, 0, 6, 0, 0, 3, 0, DNA
18, 0, 2, 4, 7, 4, 6, 2, 7, 0, 14, 12, 3, 1, 0, 6, 8, 18, 4, 10, 0, 7, 0, 0, 3, 0, DNA
28, 0, 2, 14, 19, 8, 8, 17, 16, 0, 19, 39, 2, 15, 0, 17, 22, 24, 11, 12, 0, 23, 5, 0, 8, 0, DNA
25, 0, 8, 31, 35, 11, 54, 30, 20, 0, 32, 20, 8, 8, 0, 23, 15, 14, 23, 24, 0, 25, 2, 0, 6, 0, DNA
31, 0, 12, 22, 26, 16, 25, 6, 16, 0, 18, 37, 6, 17, 0, 23, 13, 21, 25, 22, 0, 19, 6, 0, 9, 0, DNA
21, 0, 18, 20, 27, 16, 33, 8, 22, 0, 27, 46, 14, 15, 0, 44, 20, 24, 44, 31, 0, 19, 1, 0, 12, 0, DNA
6, 0, 1, 5, 4, 1, 6, 0, 6, 0, 6, 9, 2, 2, 0, 1, 4, 3, 6, 7, 0, 6, 1, 0, 2, 0, DNA
22, 0, 4, 9, 20, 3, 5, 2, 11, 0, 10, 16, 3, 9, 0, 4, 18, 8, 17, 5, 0, 8, 1, 0, 1, 0, DNA
49, 0, 18, 32, 48, 24, 31, 15, 41, 0, 60, 54, 22, 32, 0, 17, 35, 24, 49, 32, 0, 38, 7, 0, 21, 0, DNA
10, 0, 0, 3, 7, 1, 6, 1, 7, 0, 2, 7, 2, 5, 0, 0, 3, 8, 6, 4, 0, 6, 0, 0, 0, 0, DNA
70, 0, 3, 23, 42, 16, 43, 7, 31, 0, 32, 43, 20, 13, 0, 38, 39, 19, 35, 29, 0, 42, 3, 0, 11, 0, DNA
